zone_id,zone_name,province,category,is_uganda_border,is_kinshasa,lat,lon,area_km2
LOm8B3vy1qR,Aketi,Bas-Uele,other,0,0,2.684045384500223,24.065890217980783,15707.280448655903
rLPkZegjzaS,Ango,Bas-Uele,other,0,0,3.26253,24.62157,
ebKZ38Ejpb5,Bondo,Bas-Uele,other,0,0,4.171250153000244,23.500869959273565,8818.768385679983
pggZxV6O3iF,Buta,Bas-Uele,other,0,0,2.8350074602528936,25.201793052528068,10346.459138773638
QU7amTjhWlQ,Ganga,Bas-Uele,other,0,0,2.9763028270000405,26.227029257826267,9884.415838742492
wqWNVs3uxpv,Likati,Bas-Uele,other,0,0,3.375045003580473,23.653283839007305,12114.34791216269
jFTjaBOa844,Monga,Bas-Uele,other,0,0,4.341442192000084,23.31389244560838,7712.893929477937
iqV2dwy0B1b,Poko,Bas-Uele,other,0,0,3.56372,24.42896,
EgtXyZdGsLP,Titule,Bas-Uele,other,0,0,2.863400851500046,25.609301173766774,6676.516677525795
joxrJQ6anPt,Viadana,Bas-Uele,other,0,0,3.19596,24.49412,
MMnBp2lllhf,Bolenge,Equateur,other,0,0,-0.22881789449991174,18.00461330388655,1074.564536074285
lW6uPgrLYfi,Bolomba,Equateur,other,0,0,0.43300152450015617,19.120200772475343,11873.026639590425
dseqqnd0Nuw,Bomongo,Equateur,other,0,0,1.4013440230001493,18.30956942362841,10750.539122201213
ER2ozdS2Ysm,Ingende,Equateur,other,0,0,-0.43248898755112464,18.849842036410433,4924.0196358509975
nXXpnAQ8M3v,Makanza,Equateur,other,0,0,1.5120840707777683,18.961057929279608,5265.3340636618495
DmRUZqBRNzB,Mbandaka,Equateur,other,0,0,0.22333194800015121,18.37849754646176,1140.4964536463597
J0LvPM9HPVN,Wangata,Equateur,other,0,0,0.05776284500006593,18.227409852266195,64.28908492874949
GpdRlogsSiE,Kafubu,Haut-Katanga,other,0,0,-11.510610248499972,27.990191822099817,7491.550321816324
uocpzPZHiEo,Kamalondo,Haut-Katanga,other,0,0,-11.685536002999953,27.4836619434137,1.3414721027406584
NR5cDy2jhiJ,Kambove,Haut-Katanga,other,0,0,-10.84336459749997,26.700965677403435,2619.288880863551
zMfBT8xVQeH,Kampemba,Haut-Katanga,other,0,0,-11.699052153499935,27.521038796796386,43.42576449665708
nhdQUgOeBQU,Katuba,Haut-Katanga,other,0,0,-11.71013521049997,27.468105339689128,6.962988527665826
