month,origin_id,destination_id,movement
2020-04,GPi6i83o7l6,vPxN2nZnBXK,9959
2020-04,GPi6i83o7l6,TCE5waEW7Fi,1204
2020-04,GPi6i83o7l6,rhj4btTd3i0,983
2020-04,GPi6i83o7l6,i2mtQy4nTmD,898
2020-04,GPi6i83o7l6,X8zFJ7DJlRD,761
2020-04,GPi6i83o7l6,nv8tx681Gjd,743
2020-04,GPi6i83o7l6,xGWcGHazqtw,648
2020-04,GPi6i83o7l6,mGTaa8TFifO,439
2020-04,GPi6i83o7l6,woJBeEpIZdy,339
2020-04,GPi6i83o7l6,rLadlFjzCh7,318
2020-04,GPi6i83o7l6,RjHZChl5gJQ,298
2020-04,GPi6i83o7l6,seNn0NUsKYn,290
2020-04,GPi6i83o7l6,qqGoQGSp1Dw,267
2020-04,GPi6i83o7l6,FDNwbfrJhkA,254
2020-04,GPi6i83o7l6,Uc3GqWS8C0w,238
2020-04,GPi6i83o7l6,msg2MyMGhKv,230
2020-04,GPi6i83o7l6,OIhgsXcZf6x,195
2020-04,GPi6i83o7l6,gyRgzU4sTgY,185
2020-04,GPi6i83o7l6,v8PqffapuVl,171
2020-04,GPi6i83o7l6,ZHIrX4z487c,167
2020-04,GPi6i83o7l6,hWMdKGgsAIz,146
2020-04,GPi6i83o7l6,tWlaqwSUheI,127
2020-04,GPi6i83o7l6,sbyWSsdZ3tj,126
2020-04,GPi6i83o7l6,foR0DRLqtdJ,121
2020-04,GPi6i83o7l6,zOOAshOz4Cz,118
2020-04,GPi6i83o7l6,fM8IqjhdeyL,111
2020-04,GPi6i83o7l6,lW6NlTXqGcv,100
2020-04,GPi6i83o7l6,xp3Y1OXHZLj,98
2020-04,GPi6i83o7l6,t8tjGKVhkl3,97
2020-04,GPi6i83o7l6,mS2mByLHkzL,92
2020-04,GPi6i83o7l6,a2aJcbwnjoK,89
2020-04,GPi6i83o7l6,RSaqeeEezZl,84
2020-04,GPi6i83o7l6,ApdB8z3Wrxt,81
2020-04,GPi6i83o7l6,VooLsNf0dDB,68
2020-04,GPi6i83o7l6,DFcltLEKLxj,63
2020-04,GPi6i83o7l6,IMkgSD6FVjc,47
2020-04,GPi6i83o7l6,yKlg7zZ2xlH,47
2020-04,GPi6i83o7l6,TnjfqDbxtwP,47
2020-04,GPi6i83o7l6,Al5GBxzCgMe,43
2020-04,GPi6i83o7l6,amGiV9h9C2I,41
2020-04,GPi6i83o7l6,YpXUkTbtAPA,39
2020-04,GPi6i83o7l6,ET5R8zSN3gm,37
